;Indice de poblacion 2010;PGB (PBI) 2010;PGB (PBI) 2010 per capita;Variación de población relativa (%) 2001-2010;Población nacida en una provincia distinta;Con Cobertura de salud;Analfabetismo (%);Edad mediana de la población;Densidad de población(hab/km²);En viviendas colectivas( %);Percibe jubilación o pensión(%);En vivienda particulares no jub pension obra social prepaga o plan estatal(%);Sin descarga de agua o sin retrete(%);Población indígena o descendiente de pueblos indígenas u originarios(%);Viviendas deshabitadas(%);Pago total de la vivienda(%);Disponibilidad de Computadora (%);Disponibilidad de Heladera (%);Tamaño medio de los hogares;Hogares con teléfono de línea(%);Hogares con teléfono de línea ;Hogares sin teléfono de línea ;Total de hogares ;Hogares con teléfono celular(%);Hogares con teléfono celular ;Hogares sin teléfono celular ;Hogares con heladera(%);Hogares con heladera ;Hogares sin heladera ;Hogares con computadora(%);Hogares con computadora ;Hogares sin computadora ;Hogares con desagüe cloacal(%);Hogares con desagüe a cloaca ;Hogares sin desagüe a cloaca ;Hogares con instalación sanitaria con descarga de agua(%);Hogares con instalación sanitaria con descarga de agua ;Hogares propietarios de la vivienda y el terreno(%);Hogares propietarios de la vivienda y el terreno ;Hogares sin provisión de agua dentro de la vivienda(%);Hogares sin provisión de agua dentro de la vivienda ;Hogares con provisión de agua dentro de la vivienda ;Hogares con agua de red(%);Hogares con agua de red ;Hogares sin agua de red ;Viviendas habitadas por habitantes;Población en viviendas habitadas ;Viviendas habitadas;Porcentaje de viviendas habitadas(%);Viviendas particulares habitadas ;Viviendas particulares deshabitadas ;Población de tres años y más que utiliza computadora(%);Población de 3 años y más que utiliza computadora ;Población de 3 años y más;Población nacida en el extranjero(%);Población nacida en el extranjero América (países limítrofes) ;Población nacida en el extranjero América (países no limítrofes) ;Población nacida en el extranjero Europa ;Población nacida en el extranjero Asia ;Población nacida en el extranjero África;Población nacida en el extranjero Oceanía;Hogares que disponen de vivienda propia(%);Total de hogares que disponen de vivienda propia;Hogares propietarios de la vivienda y el terreno ;Hogares propietarios de la vivienda solamente ;Índice de dependencia de jóvenes(%);Población de 0 a 14 años;Población de 15 a 64 años;Índice de dependencia potencial(%);Población de 65 años y más ;Índice de dependencia de adultos mayores(%);Viviendas por habitantes;Población en viviendas particulares ;Viviendas particulares;Analfabetos ;Alfabetos ;Población de 10 años y más ;Variación intercensal de la población 2001-2010(%);Población de 65 años y más (%);Mujeres de 65 años y más(%);Varones de 65 años y más (%);Población de 15-64 años(%);Población de 15 a 64 ;Población de 0-14 años(%);Índice de masculinidad(%);Varones ;Mujeres ;Índice de envejecimiento(%);Índice envejecimiento mujeres(%);Índice envejecimiento varones(%);Relación de feminidad de la población de 65 años y más(%);Rel. feminidad población 65 a 74 años(%) ;Rel. feminidad población 75 años y más(%);Crecimiento medio anual de la población 2001-2010;Hogares con gas de red(%);Hogares con gas de red ;Hogares sin gas de red ;Programa Nacional de Emprendedores para el Desarrollo Sustentable;Cantidad de incendios totales 1994 0 2005 (km2);Cantidad de incendios totales 2006 0 2017 (km2);Cantidad de incendios totales 1994 0 2005;Cantidad de incendios totales 2006 0 2017;Superficie (km2);Areas naturales protegidas (km2);Areas naturales protegidas (%);Areas naturales protegidas (Cantidad)
Ciudad Autónoma de Buenos Aires;2890151;349366;120881,5733;4,1;31;82,3;0,4853;36,8;14450,8;2,135805;91,510222;17,13951;2,98762;2,058765;23,913974;90,977848;68,613309;97,350917;2,5;84,9;976174;173960;1150134;87,3;1004132;146002;97,4;1119666;30468;68,6;789145;360989;98,2;1128920;21214;97,6;1122228;56,4;648958;2,2;25520;1124614;99,6;1145483;4651;383;2827535;1082998;76,1;1082998;340975;73,9;2016683;2727786;13,2;207889;89436;66083;16670;1176;524;62,5;718743;648958;69785;24,3;472511;1943569;48,7;474071;24,4;504;2827535;1423973;12403;2555738;2568141;4,1;16,4;19,3;13;67,2;1943569;16,3;85,2;1329681;1560470;100,3;129,8;71,9;174,6;147,2;207,9;4,5;92,2;1060248;89886;13;16072;5773936321;9;45;212;3,68;1,74;3
Buenos Aires;15625084;595032;38081,84327;13;28;64,6;1,3914;30,5;50,8;0,911918;93,099175;33,979181;14,826235;1,937439;17,69456;89,969087;48,204358;96,443416;3,2;62,1;2976266;1813218;4789484;86,1;4125700;663784;96,4;4619142;170342;48,2;2308740;2480744;47,6;2278609;2510875;87,7;4201778;70,6;3382869;9,8;471208;4318276;75,1;3596587;1192897;286;15481752;4425193;82,3;4425193;952593;55,6;8175974;14701279;6;667663;88897;175796;8398;839;348;74,5;3570314;3382869;187445;38,5;3876553;10077275;55,1;1671256;16,6;347;15481752;5377786;179008;12865686;13044694;13;10,7;12,4;8,9;64,5;10077275;24,8;94,8;7604581;8020503;43,1;52,1;34,4;146,4;125,4;179,6;13,8;64,9;3110444;1679040;106;1852139906;2662274591;39593;35375;307571;15984,3;5,1;43
Catamarca;367828;79861;217115,0646;9,9;9,8;60,9;2,059;26,8;3,6;1,427026;93,345368;36,426014;15,586952;1,931221;21,275401;76,66992;35,955875;90,427183;3,8;35,7;34250;61751;96001;84,7;81345;14656;90,4;86811;9190;36;34518;61483;44,4;42643;53358;84,7;81359;80,1;76916;15,1;14467;81534;93,1;89413;6588;247;362534;89376;78,7;89376;24258;44,4;152433;343225;0,4;840;359;296;47;17;4;81,7;78469;76916;1553;46,4;107452;231404;59;28972;12,5;313;362534;113634;6036;293153;299189;9,9;7,9;9;6,8;62,9;231404;29,2;98,3;182309;185519;27;31,3;22,8;134,3;116;165,1;10,7;18,7;17942;78059;2;43846235;637644409,2;2067;1147;102602;18614,24;18,14;4
Chaco;1055259;52902;50131,7686;7,2;8,3;42,1;5,7979;25,2;10,6;0,691868;92,683837;53,363911;7,717734;3,600109;13,569584;73,878824;29,606965;82,125843;3,6;27,1;78252;210170;288422;84,1;242521;45901;82,1;236869;51553;29,6;85393;203029;26,4;76107;212315;64,9;187196;69,6;200617;34,9;100734;187688;76,5;220748;67674;258;1047853;270133;86,4;270133;42469;37,2;368174;990318;0,6;4703;483;1175;122;12;1;77,7;224060;200617;23443;48,4;320407;661406;59,5;73446;11,1;298;1047853;312602;46732;806020;852752;7,2;7;7,8;6,1;62,7;661406;30,4;97,1;519950;535309;22,9;26,4;19,5;131,2;117,9;155,9;7,8;0;0;288422;28;77705622,37;60293046,53;3399;4449;99633;9366,94;9,4;17
Chubut;509108;61584;120964,5105;23,2;27,5;72,7;2,0188;28,6;2,3;2,170659;90,393918;26,098329;22,434555;8,701209;17,226649;63,306922;56,89653;94,09287;3,2;45,2;71004;86162;157166;91,3;143454;13712;94,1;147882;9284;56,9;89422;67744;77,7;122121;35045;92;144563;63,9;100387;6,5;10162;147004;96,4;151447;5719;296;497969;147176;82,7;147176;30809;63,4;298488;470944;6,1;26821;1521;2676;146;26;20;67,5;106103;100387;5716;40,4;135575;335782;51,6;37751;11,2;357;497969;177985;8314;411823;420137;23,2;7,4;8,3;6,5;66;335782;26,6;100,1;254649;254459;27,8;31,7;24,1;128,3;114,2;154,2;23,6;87,9;138097;19069;4;1189218349;1236406479;2082;1581;226686;52478,17;23,15;30
Córdoba;3308876;338698;102360,439;7,9;12,4;67,1;1,4885;30,5;20;1,513475;94,623209;31,499321;38,039114;1,549628;20,523223;88,024016;49,445216;96,284512;3,2;57,2;589989;441854;1031843;87,3;900355;131488;96,3;993505;38338;49,4;510197;521646;38,3;395433;636410;93,4;963257;65,1;671638;6,6;68205;963638;91,9;947774;84069;300;3258534;978553;79,4;978553;253658;56;1737948;3100841;1,5;22162;16182;10839;1073;143;89;67;691612;671638;19974;37,7;805512;2133846;55,1;369518;17,3;378;3258534;1232211;40785;2739946;2780731;7,9;11,2;12,9;9,3;64,5;2133846;24,3;94,2;1605088;1703788;45,9;55,4;36,7;146,5;125,7;180;8,5;50,7;523012;508831;6;1144395;457193,75;5643;2676;167321;14582,64;8,72;15
Corrientes;992595;166609;167851,9436;6,6;9,8;51,6;4,4682;26;11,3;0,718218;92,114364;45,386802;7,786228;0,52428;14,936724;76,277361;32,182586;86,583868;3,7;29,7;79613;188184;267797;85,6;229253;38544;86,6;231869;35928;32,2;86184;181613;53,4;142966;124831;79,4;212522;65,8;176138;20;53682;214115;87,1;233269;34528;253;985404;248844;85;248844;43800;43,7;406977;931438;0,8;6423;455;591;153;23;1;74,7;200020;176138;23882;46,8;291482;623110;59,3;78003;12,5;297;985404;292644;34492;771948;806440;6,6;7,9;8,8;6,9;62,8;623110;29,4;95,6;485075;507520;26,8;31,2;22,5;134,5;119,1;161,8;7,2;0;0;267797;4;100684,1;609759722,6;2493;720;88199;14459,28;16,39;14
Entre Ríos;1235994;178584;144486,1383;6,7;9,1;64,3;2,1787;29,5;15,7;1,078322;94,882874;33,362754;9,899434;1,092902;16,028717;86,037908;43,768277;94,490311;3,3;44,9;168602;206519;375121;86;322777;52344;94,5;354453;20668;43,8;164184;210937;69,8;261923;113198;91,3;342424;68,5;256995;8,1;30259;344862;90,4;338959;36162;292;1222585;357250;83,9;357250;68341;49,9;580279;1162455;0,8;7481;1142;1405;279;82;4;73,6;276244;256995;19249;41,3;324299;784742;57,5;126953;16,2;348;1222585;425591;21904;1005361;1027265;6,7;10,3;12;8,5;63,5;784742;26,2;95,7;604566;631428;39,1;47,5;31,1;148;123,5;191,6;7,3;25,8;96638;278483;8;4164832,1;108499,32;3035;1819;78781;4990,81;6,34;26
Formosa;530162;78310;147709,568;9;7,7;43,1;4,2643;24,6;7,4;0,586425;87,428789;51,896027;41,191204;5,400335;15,723945;73,036275;25,962381;79,001875;3,8;25,5;35785;104518;140303;81,2;113884;26419;79;110842;29461;26;36426;103877;31,5;44129;96174;61,2;85854;67,8;95163;41,1;57621;82682;76,8;107779;32524;247;526996;130134;84,3;130134;24324;33,5;166446;496708;4;20662;167;244;40;6;1;76,3;107049;95163;11886;51,2;166980;326120;62,6;37062;11,4;293;526996;154458;17396;407948;425344;9;7;7,4;6,6;61,5;326120;31,5;98;262395;267767;22,2;24,1;20,3;113,9;106,1;127,9;9,6;0;0;140303;1;48314,26;9809173,62;570;926;72066;5989,61;8,31;14
Jujuy;673307;33659;49990,56894;10;12,2;54,8;3,2346;26,4;12,7;0,998356;88,89099;42,691782;20,837685;7,98619;20,823696;62,56044;33,850999;83,141499;3,8;38,1;66549;108081;174630;79;138025;36605;83,1;145190;29440;33,9;59114;115516;60,8;106194;68436;79;137906;67,3;117589;18,5;32257;142373;94,5;164974;9656;232;666480;154911;79,1;154911;40874;40,7;256541;629692;4,4;28422;502;555;77;6;9;72,1;125988;117589;8399;45,7;195946;428702;57,1;48659;11,4;294;666480;195785;17188;531384;548572;10;7,2;7,8;6,6;63,7;428702;29,1;96,1;329990;343317;24,8;27,9;21,9;123,9;114,5;141,1;10,8;38,1;66465;108165;3;18232,65;391664787,4;699;2488;56219;21464,29;38,18;17
